title,year,metacritic_score,metacritic_rank,oscars_nom,oscars_win,min_oscar_nom_metacritic_score,min_oscar_nom_rank,oscar_win_metacritic_score,oscar_win_rank,tie_rank
A Secret Love,2020,77,92,0,0,72.0,170.0,88.0,12.0,3
A Separation,2011,95,1,0,0,46.0,409.0,89.0,5.0,1
A Serious Man,2009,88,8,1,0,53.0,242.0,95.0,1.0,3
A Shaun the Sheep Movie: Farmageddon,2020,79,76,0,0,72.0,170.0,88.0,12.0,10
A Silent Voice,2017,78,95,0,0,75.0,146.0,87.0,19.0,6
A Simple Favor,2018,67,272,0,0,49.0,490.0,69.0,224.0,19
A Simple Life,2012,78,58,0,0,63.0,234.0,86.0,12.0,6
A Single Man,2009,77,55,0,0,53.0,242.0,95.0,1.0,2
A Skin So Soft,2018,65,295,0,0,49.0,490.0,69.0,224.0,6
A Somewhat Gentle Man,2011,68,148,0,0,46.0,409.0,89.0,5.0,2
A Song for Martin,2001,72,76,0,0,66.0,123.0,72.0,79.0,1
A Space Program,2016,72,183,0,0,69.0,220.0,99.0,1.0,19
A Star Is Born,2018,88,19,1,0,49.0,490.0,69.0,224.0,4
A Still Small Voice,2023,81,60,0,0,77.0,109.0,89.0,12.0,5
A Summer's Tale,2014,91,4,0,0,71.0,166.0,87.0,16.0,1
A Talking Picture,2004,77,50,0,0,67.0,131.0,86.0,11.0,2
A Thousand Cuts,2020,81,51,0,0,72.0,170.0,88.0,12.0,1
A Thousand Years of Good Prayers,2008,64,142,0,0,58.0,199.0,84.0,10.0,4
A Thousand and One,2023,81,72,0,0,77.0,109.0,89.0,12.0,17
A Time for Drunken Horses,2000,78,31,0,0,64.0,126.0,67.0,110.0,3
A Touch of Sin,2013,77,74,0,0,75.0,95.0,96.0,1.0,9
A Town Called Panic,2009,70,112,0,0,53.0,242.0,95.0,1.0,7
A Traveler's Needs,2024,70,191,0,0,70.0,192.0,91.0,10.0,7
A Very British Gangster,2008,59,191,0,0,58.0,199.0,84.0,10.0,3
A Very Harold & Kumar Christmas,2011,61,256,0,0,46.0,409.0,89.0,5.0,8
A Very Long Engagement,2004,76,56,0,0,67.0,131.0,86.0,11.0,3
A Vigilante,2019,68,227,0,0,58.0,353.0,96.0,1.0,9
A War,2016,81,57,0,0,69.0,220.0,99.0,1.0,11
A Whale of a Tale,2018,50,477,0,0,49.0,490.0,69.0,224.0,2
"A White, White Day",2020,81,56,0,0,72.0,170.0,88.0,12.0,6
A Woman Is a Woman,2003,71,85,0,0,72.0,73.0,94.0,1.0,9
A Woman in Berlin,2009,74,76,0,0,53.0,242.0,95.0,1.0,2
A Woman's Life,2017,74,161,0,0,75.0,146.0,87.0,19.0,7
A Wounded Fawn,2022,75,128,0,0,63.0,296.0,81.0,51.0,4
A Wrinkle in Time,2018,53,438,0,0,49.0,490.0,69.0,224.0,1
