title,year,metacritic_score,metacritic_rank,oscars_nom,oscars_win,min_oscar_nom_metacritic_score,min_oscar_nom_rank,oscar_win_metacritic_score,oscar_win_rank,tie_rank
My Darling Vivian,2020,78,89,0,0,72.0,170.0,88.0,12.0,9
My Dog Tulip,2010,80,36,0,0,74.0,75.0,88.0,8.0,3
"My Donkey, My Lover & I",2022,72,184,0,0,63.0,296.0,81.0,51.0,12
My Father's Dragon,2022,74,148,0,0,63.0,296.0,81.0,51.0,13
My Flesh and Blood,2003,78,37,0,0,72.0,73.0,94.0,1.0,1
My Golden Days,2016,87,21,0,0,69.0,220.0,99.0,1.0,4
My Happy Family,2017,86,22,0,0,75.0,146.0,87.0,19.0,3
My Imaginary Country,2022,86,19,0,0,63.0,296.0,81.0,51.0,3
My Journey Through French Cinema,2017,87,18,0,0,75.0,146.0,87.0,19.0,4
My Joy,2011,81,32,0,0,46.0,409.0,89.0,5.0,1
My Life as a Zucchini,2017,85,34,0,0,75.0,146.0,87.0,19.0,6
My Little Sister,2021,75,133,0,0,49.0,437.0,72.0,171.0,2
"My Love, Don't Cross That River",2016,68,231,0,0,69.0,220.0,99.0,1.0,2
My Mother's Smile,2005,74,73,0,0,66.0,165.0,66.0,165.0,2
My Name Is Albert Ayler,2007,83,19,0,0,81.0,29.0,92.0,5.0,1
My Name Is Alfred Hitchcock,2024,75,126,0,0,70.0,192.0,91.0,10.0,6
My Name Is Pauli Murray,2021,73,166,0,0,49.0,437.0,72.0,171.0,11
My Old Ass,2024,74,139,0,0,70.0,192.0,91.0,10.0,4
My Old School,2022,67,242,0,0,63.0,296.0,81.0,51.0,3
My One and Only,2009,62,178,0,0,53.0,242.0,95.0,1.0,5
My Penguin Friend,2024,70,188,0,0,70.0,192.0,91.0,10.0,4
My Perestroika,2011,90,4,0,0,46.0,409.0,89.0,5.0,1
My Reincarnation,2011,63,230,0,0,46.0,409.0,89.0,5.0,4
My Rembrandt,2021,72,180,0,0,49.0,437.0,72.0,171.0,10
My Salinger Year,2021,50,431,0,0,49.0,437.0,72.0,171.0,4
My Sister's Keeper,2009,51,255,0,0,53.0,242.0,95.0,1.0,8
"My Son, My Son, What Have Ye Done",2009,59,199,0,0,53.0,242.0,95.0,1.0,4
My Summer of Love,2005,82,25,0,0,66.0,165.0,66.0,165.0,10
My Terrorist,2003,73,64,0,0,72.0,73.0,94.0,1.0,3
My Voyage to Italy,2001,90,5,0,0,66.0,123.0,72.0,79.0,2
My Week with Marilyn,2011,65,200,0,0,46.0,409.0,89.0,5.0,10
My Winnipeg,2008,84,14,0,0,58.0,199.0,84.0,10.0,5
My Wonderful Wanda,2021,54,392,0,0,49.0,437.0,72.0,171.0,13
My Zoe,2021,59,341,0,0,49.0,437.0,72.0,171.0,6
Mysteries of Lisbon,2011,82,31,0,0,46.0,409.0,89.0,5.0,5
Mysterious Object at Noon,2001,74,61,0,0,66.0,123.0,72.0,79.0,4
Mysterious Skin,2005,74,77,0,0,66.0,165.0,66.0,165.0,6
Mystic River,2003,84,16,1,0,72.0,73.0,94.0,1.0,2
Mystify: Michael Hutchence,2020,73,145,0,0,72.0,170.0,88.0,12.0,7
Música,2024,74,154,0,0,70.0,192.0,91.0,10.0,19
Nam June Paik: Moon Is the Oldest TV,2023,79,82,0,0,77.0,109.0,89.0,12.0,1
Nancy,2018,67,269,0,0,49.0,490.0,69.0,224.0,16
Nanny,2022,72,177,0,0,63.0,296.0,81.0,51.0,5
Narco Cultura,2013,74,118,0,0,75.0,95.0,96.0,1.0,17
Nas: Time Is Illmatic,2014,72,152,0,0,71.0,166.0,87.0,16.0,14
Nathalie...,2006,69,135,0,0,69.0,126.0,85.0,15.0,10
National Anthem,2024,71,180,0,0,70.0,192.0,91.0,10.0,5
National Bird,2016,75,125,0,0,69.0,220.0,99.0,1.0,17
National Champions,2021,52,421,0,0,49.0,437.0,72.0,171.0,13
National Gallery,2014,89,9,0,0,71.0,166.0,87.0,16.0,3
Native Son,2019,63,290,0,0,58.0,353.0,96.0,1.0,4
Navalny,2022,82,45,0,0,63.0,296.0,81.0,51.0,8
Nebraska,2013,86,14,1,0,75.0,95.0,96.0,1.0,1
Neighboring Sounds,2012,77,61,0,0,63.0,234.0,86.0,12.0,3
Neil Young Journeys,2012,74,86,0,0,63.0,234.0,86.0,12.0,7
Neil Young Trunk Show,2010,83,19,0,0,74.0,75.0,88.0,8.0,3
Neil Young: Heart of Gold,2006,85,18,0,0,69.0,126.0,85.0,15.0,4
Neither Heaven Nor Earth,2016,72,165,0,0,69.0,220.0,99.0,1.0,1
Neon Bull,2016,80,59,0,0,69.0,220.0,99.0,1.0,1
Neptune Frost,2022,83,36,0,0,63.0,296.0,81.0,51.0,9
Neruda,2016,82,46,0,0,69.0,220.0,99.0,1.0,7
Never Goin' Back,2018,62,346,0,0,49.0,490.0,69.0,224.0,19
Never Gonna Snow Again,2021,73,162,0,0,49.0,437.0,72.0,171.0,7
Never Grow Old,2019,65,264,0,0,58.0,353.0,96.0,1.0,5
Never Look Away,2019,68,235,0,0,58.0,353.0,96.0,1.0,17
Never Rarely Sometimes Always,2020,92,4,0,0,72.0,170.0,88.0,12.0,1
"Never Steady, Never Still",2018,70,202,0,0,49.0,490.0,69.0,224.0,1
Never-Ending Man: Hayao Miyazaki,2018,64,312,0,0,49.0,490.0,69.0,224.0,10
New Order,2021,62,302,0,0,49.0,437.0,72.0,171.0,1
New York Doll,2005,72,89,0,0,66.0,165.0,66.0,165.0,1
"New York, I Love You",2009,49,263,0,0,53.0,242.0,95.0,1.0,2
News of the World,2020,73,152,0,0,72.0,170.0,88.0,12.0,14
Newtown,2016,87,18,0,0,69.0,220.0,99.0,1.0,1
Next Goal Wins,2014,71,163,0,0,71.0,166.0,87.0,16.0,8
Nicholas Nickleby,2002,71,88,0,0,72.0,82.0,81.0,26.0,4
Nick and Norah's Infinite Playlist,2008,64,147,0,0,58.0,199.0,84.0,10.0,9
Nickel Boys,2024,91,8,1,0,70.0,192.0,91.0,10.0,3
"Nico, 1988",2018,75,132,0,0,49.0,490.0,69.0,224.0,12
Night Across the Street,2013,76,86,0,0,75.0,95.0,96.0,1.0,11
Night Comes On,2018,79,86,0,0,49.0,490.0,69.0,224.0,5
Night Moves,2014,75,109,0,0,71.0,166.0,87.0,16.0,7
Night School,2017,76,123,0,0,75.0,146.0,87.0,19.0,6
Night Will Fall,2014,85,31,0,0,71.0,166.0,87.0,16.0,3
Night of the Kings,2021,82,54,0,0,49.0,437.0,72.0,171.0,2
Nightcrawler,2014,76,101,0,0,71.0,166.0,87.0,16.0,14
Nightmare Alley,2021,70,205,1,0,49.0,437.0,72.0,171.0,6
Nightmare Cinema,2019,60,322,0,0,58.0,353.0,96.0,1.0,1
Nina Forever,2016,75,121,0,0,69.0,220.0,99.0,1.0,13
Nine Days,2021,72,176,0,0,49.0,437.0,72.0,171.0,6
Nine Lives,2005,80,39,0,0,66.0,165.0,66.0,165.0,8
Nine Queens,2002,80,29,0,0,72.0,82.0,81.0,26.0,3
Nitram,2022,81,60,0,0,63.0,296.0,81.0,51.0,11
No,2013,81,41,0,0,75.0,95.0,96.0,1.0,4
No Bears,2022,93,2,0,0,63.0,296.0,81.0,51.0,1
No Country for Old Men,2007,92,5,1,1,81.0,29.0,92.0,5.0,2
"No Date, No Signature",2018,71,193,0,0,49.0,490.0,69.0,224.0,12
No End in Sight,2007,89,8,0,0,81.0,29.0,92.0,5.0,1
No Home Movie,2016,81,47,0,0,69.0,220.0,99.0,1.0,1
No Impact Man: The Documentary,2009,66,148,0,0,53.0,242.0,95.0,1.0,9
No Man of God,2021,67,251,0,0,49.0,437.0,72.0,171.0,13
No Man's Land,2001,84,18,0,0,66.0,123.0,72.0,79.0,3
No Man's Land,2021,52,422,0,0,49.0,437.0,72.0,171.0,14
No Ordinary Man,2021,72,173,0,0,49.0,437.0,72.0,171.0,3
No Other Land,2024,93,4,0,0,70.0,192.0,91.0,10.0,2
No Strings Attached,2011,50,369,0,0,46.0,409.0,89.0,5.0,8
No Sudden Move,2021,76,125,0,0,49.0,437.0,72.0,171.0,12
No Time to Die,2021,68,236,0,0,49.0,437.0,72.0,171.0,14
Nobody,2021,64,288,0,0,49.0,437.0,72.0,171.0,11
Nobody Else But You (Poupoupidou),2012,63,227,0,0,63.0,234.0,86.0,12.0,1
Nobody Knows,2005,88,3,0,0,66.0,165.0,66.0,165.0,2
Nocturnes,2024,82,47,0,0,70.0,192.0,91.0,10.0,4
Noi the Albino,2004,68,121,0,0,67.0,131.0,86.0,11.0,3
Nomad: In the Footsteps of Bruce Chatwin,2020,85,26,0,0,72.0,170.0,88.0,12.0,3
Nomadland,2020,88,12,1,1,72.0,170.0,88.0,12.0,2
Non-Fiction,2019,78,102,0,0,58.0,353.0,96.0,1.0,9
Nope,2022,77,101,0,0,63.0,296.0,81.0,51.0,1
Norman,2011,60,272,0,0,46.0,409.0,89.0,5.0,14
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2017,75,136,0,0,75.0,146.0,87.0,19.0,2
"Norte, the End of History",2014,81,57,0,0,71.0,166.0,87.0,16.0,10
North Country,2005,68,136,0,0,66.0,165.0,66.0,165.0,1
North Sea Texas,2012,63,235,0,0,63.0,234.0,86.0,12.0,9
Nosferatu,2024,78,93,0,0,70.0,192.0,91.0,10.0,12
Nossa Chape,2018,80,70,0,0,49.0,490.0,69.0,224.0,2
Nostalgia,2023,76,117,0,0,77.0,109.0,89.0,12.0,8
Nostalgia for the Light,2011,91,3,0,0,46.0,409.0,89.0,5.0,1
Not Fade Away,2012,65,205,0,0,63.0,234.0,86.0,12.0,3
Not Going Quietly,2021,73,159,0,0,49.0,437.0,72.0,171.0,4
Not Okay,2022,62,309,0,0,63.0,296.0,81.0,51.0,11
Not One Less,2000,73,73,0,0,64.0,126.0,67.0,110.0,10
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2009,76,68,0,0,53.0,242.0,95.0,1.0,9
Notes on Blindness,2016,75,112,0,0,69.0,220.0,99.0,1.0,4
Notes on a Scandal,2006,73,90,0,0,69.0,126.0,85.0,15.0,13
Nothing But the Truth,2008,64,148,0,0,58.0,199.0,84.0,10.0,10
Nothing Compares,2022,76,124,0,0,63.0,296.0,81.0,51.0,12
Nothing Lasts Forever,2022,75,127,0,0,63.0,296.0,81.0,51.0,3
Notorious,2009,60,194,0,0,53.0,242.0,95.0,1.0,5
Notre musique,2004,77,51,0,0,67.0,131.0,86.0,11.0,3
Notturno,2021,75,135,0,0,49.0,437.0,72.0,171.0,4
November,2018,79,84,0,0,49.0,490.0,69.0,224.0,3
Novitiate,2017,73,168,0,0,75.0,146.0,87.0,19.0,1
Nowhere Special,2024,80,59,0,0,70.0,192.0,91.0,10.0,1
Nowhere in Africa,2003,72,75,0,0,72.0,73.0,94.0,1.0,7
Nowhere to Hide,2017,82,53,0,0,75.0,146.0,87.0,19.0,1
Nurse Betty,2000,69,99,0,0,64.0,126.0,67.0,110.0,3
Nuts!,2016,82,43,0,0,69.0,220.0,99.0,1.0,4
"O Brother, Where Art Thou?",2000,69,103,0,0,64.0,126.0,67.0,110.0,7
O'Horten,2009,78,51,0,0,53.0,242.0,95.0,1.0,3
"OC87: The Obsessive Compulsive, Major Depression, Bipolar, Asperger's Movie",2012,66,188,0,0,63.0,234.0,86.0,12.0,4
"OSS 117: Cairo, Nest of Spies",2008,62,170,0,0,58.0,199.0,84.0,10.0,6
OT: Our Town,2003,75,51,0,0,72.0,73.0,94.0,1.0,1
Oasis,2004,79,36,0,0,67.0,131.0,86.0,11.0,1
Oasis Knebworth 1996,2021,85,35,0,0,49.0,437.0,72.0,171.0,8
Oasis: Supersonic,2016,71,194,0,0,69.0,220.0,99.0,1.0,11
Obscene,2008,73,67,0,0,58.0,199.0,84.0,10.0,2
Observe and Report,2009,54,238,0,0,53.0,242.0,95.0,1.0,9
Obvious Child,2014,76,100,0,0,71.0,166.0,87.0,16.0,13
Ocean's 8,2018,61,352,0,0,49.0,490.0,69.0,224.0,5
Ocean's Eleven,2001,74,63,0,0,66.0,123.0,72.0,79.0,6
Oceans,2010,75,68,0,0,74.0,75.0,88.0,8.0,7
Oddity,2024,78,84,0,0,70.0,192.0,91.0,10.0,3
Of Fathers and Sons,2018,70,206,0,0,49.0,490.0,69.0,224.0,5
Of Gods and Men,2011,86,13,0,0,46.0,409.0,89.0,5.0,2
Of Men and War,2015,87,20,0,0,76.0,119.0,93.0,6.0,2
Of Time and the City,2009,81,40,0,0,53.0,242.0,95.0,1.0,7
Off the Map,2005,68,141,0,0,66.0,165.0,66.0,165.0,6
Off the Rails,2016,80,64,0,0,69.0,220.0,99.0,1.0,6
Office,2015,83,35,0,0,76.0,119.0,93.0,6.0,4
Official Competition,2022,79,79,0,0,63.0,296.0,81.0,51.0,9
Official Secrets,2019,63,288,0,0,58.0,353.0,96.0,1.0,2
Offside,2007,85,14,0,0,81.0,29.0,92.0,5.0,3
Oh Lucy!,2018,69,227,0,0,49.0,490.0,69.0,224.0,7
Oka!,2011,61,258,0,0,46.0,409.0,89.0,5.0,10
Okja,2017,75,154,0,0,75.0,146.0,87.0,19.0,20
Oklahoma City,2017,74,155,0,0,75.0,146.0,87.0,19.0,1
Old,2021,55,375,0,0,49.0,437.0,72.0,171.0,4
Old Henry,2021,69,213,0,0,49.0,437.0,72.0,171.0,1
Old Joy,2006,84,21,0,0,69.0,126.0,85.0,15.0,3
Old Stone,2016,72,176,0,0,69.0,220.0,99.0,1.0,12
Oldboy,2005,78,52,0,0,66.0,165.0,66.0,165.0,7
Older Than Ireland,2016,74,146,0,0,69.0,220.0,99.0,1.0,20
Olga,2022,77,110,0,0,63.0,296.0,81.0,51.0,10
Oliver Sacks: His Own Life,2020,82,49,0,0,72.0,170.0,88.0,12.0,8
Omar,2014,75,118,0,0,71.0,166.0,87.0,16.0,16
On Body and Soul,2018,77,104,0,0,49.0,490.0,69.0,224.0,3
On Chesil Beach,2018,62,345,0,0,49.0,490.0,69.0,224.0,18
On Her Shoulders,2018,84,45,0,0,49.0,490.0,69.0,224.0,5
On the Adamant,2024,77,106,0,0,70.0,192.0,91.0,10.0,13
On the Basis of Sex,2018,59,381,0,0,49.0,490.0,69.0,224.0,9
On the Beach at Night Alone,2017,80,74,0,0,75.0,146.0,87.0,19.0,4
On the Count of Three,2022,74,138,0,0,63.0,296.0,81.0,51.0,3
On the Outs,2005,66,161,0,0,66.0,165.0,66.0,165.0,3
On the Record,2020,84,31,0,0,72.0,170.0,88.0,12.0,4
On the Rocks,2020,73,140,0,0,72.0,170.0,88.0,12.0,2
On the Run,2004,75,73,0,0,67.0,131.0,86.0,11.0,15
Once,2007,90,6,0,0,81.0,29.0,92.0,5.0,1
Once Upon a Deadpool,2018,53,442,0,0,49.0,490.0,69.0,224.0,5
Once Upon a Time ... in Hollywood,2019,84,33,1,0,58.0,353.0,96.0,1.0,4
Once Upon a Time in Anatolia,2012,82,30,0,0,63.0,234.0,86.0,12.0,7
One,2000,61,141,0,0,64.0,126.0,67.0,110.0,1
One Child Nation,2019,85,29,0,0,58.0,353.0,96.0,1.0,6
One Cut of the Dead,2019,86,20,0,0,58.0,353.0,96.0,1.0,3
One Day,2011,48,397,0,0,46.0,409.0,89.0,5.0,6
One Day in September,2000,82,14,0,0,64.0,126.0,67.0,110.0,2
One Fine Morning,2022,86,20,0,0,63.0,296.0,81.0,51.0,4
One Lucky Elephant,2011,71,113,0,0,46.0,409.0,89.0,5.0,4
One More Time with Feeling,2016,92,6,0,0,69.0,220.0,99.0,1.0,1
One Night in Miami,2020,83,39,0,0,72.0,170.0,88.0,12.0,5
One Piece Film: Red,2022,69,216,0,0,63.0,296.0,81.0,51.0,8
One of Us,2017,78,94,0,0,75.0,146.0,87.0,19.0,5
Ong Bak,2005,69,135,0,0,66.0,165.0,66.0,165.0,8
Only Human,2006,70,122,0,0,69.0,126.0,85.0,15.0,11
Only Lovers Left Alive,2014,79,69,0,0,71.0,166.0,87.0,16.0,8
Only Yesterday (1991),2016,90,8,0,0,69.0,220.0,99.0,1.0,1
Only You,2019,78,103,0,0,58.0,353.0,96.0,1.0,10
Only the Animals,2021,69,214,0,0,49.0,437.0,72.0,171.0,2
Only the Young,2012,71,124,0,0,63.0,234.0,86.0,12.0,6
"Onoda: 10,000 Nights in the Jungle",2022,78,90,0,0,63.0,296.0,81.0,51.0,10
Open Hearts,2003,77,43,0,0,72.0,73.0,94.0,1.0,3
Operation Avalanche,2016,69,222,0,0,69.0,220.0,99.0,1.0,6
Operation Filmmaker,2008,69,102,0,0,58.0,199.0,84.0,10.0,10
Operation Finale,2018,58,388,0,0,49.0,490.0,69.0,224.0,5
Operation Mincemeat,2022,65,269,0,0,63.0,296.0,81.0,51.0,4
Operation Varsity Blues: The College Admissions Scandal,2021,70,211,0,0,49.0,437.0,72.0,171.0,12
Ophelia,2019,60,336,0,0,58.0,353.0,96.0,1.0,15
Oppenheimer,2023,89,12,1,1,77.0,109.0,89.0,12.0,1
Oranges and Sunshine,2011,60,262,0,0,46.0,409.0,89.0,5.0,4
Orgasm Inc.,2011,64,215,0,0,46.0,409.0,89.0,5.0,5
Origin,2023,77,106,0,0,77.0,109.0,89.0,12.0,5
Orion and the Dark,2024,72,174,0,0,70.0,192.0,91.0,10.0,13
"Orlando, My Political Biography",2023,86,25,0,0,77.0,109.0,89.0,12.0,5
Ornette: Made in America (1985),2012,77,63,0,0,63.0,234.0,86.0,12.0,5
Osama,2004,83,20,0,0,67.0,131.0,86.0,11.0,2
"Oslo, August 31st",2012,84,18,0,0,63.0,234.0,86.0,12.0,2
Other People's Children,2023,80,80,0,0,77.0,109.0,89.0,12.0,8
Our Beloved Month of August,2010,82,25,0,0,74.0,75.0,88.0,8.0,4
Our Body,2023,95,1,0,0,77.0,109.0,89.0,12.0,1
Our Brand Is Crisis,2006,71,111,0,0,69.0,126.0,85.0,15.0,11
Our Children,2013,79,59,0,0,75.0,95.0,96.0,1.0,7
Our Daily Bread,2006,86,13,0,0,69.0,126.0,85.0,15.0,2
Our Father,2004,70,111,0,0,67.0,131.0,86.0,11.0,3
"Our Father, the Devil",2023,87,15,0,0,77.0,109.0,89.0,12.0,1
Our Friend,2021,57,359,0,0,49.0,437.0,72.0,171.0,8
Our Idiot Brother,2011,60,261,0,0,46.0,409.0,89.0,5.0,3
Our Lady of the Assassins,2001,73,73,0,0,66.0,123.0,72.0,79.0,6
Our Little Sister,2016,75,117,0,0,69.0,220.0,99.0,1.0,9
Our Song,2001,77,47,0,0,66.0,123.0,72.0,79.0,2
Our Time Machine,2020,84,33,0,0,72.0,170.0,88.0,12.0,6
Our Time Will Come,2017,82,59,0,0,75.0,146.0,87.0,19.0,7
Out 1: Noli Me Tangere (1971),2015,87,19,0,0,76.0,119.0,93.0,6.0,1
Outlaw King,2018,59,376,0,0,49.0,490.0,69.0,224.0,4
Outrage,2009,64,157,0,0,53.0,242.0,95.0,1.0,1
Outrage,2011,67,172,0,0,46.0,409.0,89.0,5.0,11
Outside In,2018,76,112,0,0,49.0,490.0,69.0,224.0,3
Over Your Cities Grass Will Grow,2011,66,187,0,0,46.0,409.0,89.0,5.0,12
Overlord,2018,60,362,0,0,49.0,490.0,69.0,224.0,4
Owning Mahowny,2003,70,91,0,0,72.0,73.0,94.0,1.0,4
Oxygen,2021,67,255,0,0,49.0,437.0,72.0,171.0,17
PAW Patrol: The Movie,2021,50,428,0,0,49.0,437.0,72.0,171.0,1
PG: Psycho Goreman,2021,67,244,0,0,49.0,437.0,72.0,171.0,6
POM Wonderful Presents: The Greatest Movie Ever Sold,2011,66,182,0,0,46.0,409.0,89.0,5.0,7
PVT Chat,2021,61,316,0,0,49.0,437.0,72.0,171.0,6
Paddington,2015,77,97,0,0,76.0,119.0,93.0,6.0,5
Paddington 2,2018,88,17,0,0,49.0,490.0,69.0,224.0,2
Paddleton,2019,70,195,0,0,58.0,353.0,96.0,1.0,5
Page One: A Year Inside the New York Times,2011,68,159,0,0,46.0,409.0,89.0,5.0,13
Pain and Glory,2019,87,15,0,0,58.0,353.0,96.0,1.0,2
Painted Fire,2003,78,38,0,0,72.0,73.0,94.0,1.0,2
Palm Springs,2020,83,40,0,0,72.0,170.0,88.0,12.0,6
Palmer,2021,53,399,0,0,49.0,437.0,72.0,171.0,4
Pan's Labyrinth,2006,98,2,0,0,69.0,126.0,85.0,15.0,1
Panic,2001,77,46,0,0,66.0,123.0,72.0,79.0,1
Paper Heart,2009,54,236,0,0,53.0,242.0,95.0,1.0,7
Paper Spiders,2021,68,225,0,0,49.0,437.0,72.0,171.0,3
Papillon,2018,51,475,0,0,49.0,490.0,69.0,224.0,12
Paprika,2007,81,33,0,0,81.0,29.0,92.0,5.0,5
ParaNorman,2012,72,109,0,0,63.0,234.0,86.0,12.0,7
Paradise Now,2005,71,101,0,0,66.0,165.0,66.0,165.0,1
Paradise: Hope,2013,78,65,0,0,75.0,95.0,96.0,1.0,6
Paragraph 175,2000,85,11,0,0,64.0,126.0,67.0,110.0,4
Parallel Mothers,2021,88,16,0,0,49.0,437.0,72.0,171.0,2
Paranoid Park,2008,84,18,0,0,58.0,199.0,84.0,10.0,9
Paranormal Activity,2009,68,129,0,0,53.0,242.0,95.0,1.0,5
Paranormal Activity 3,2011,59,285,0,0,46.0,409.0,89.0,5.0,12
Parasite,2019,96,1,1,1,58.0,353.0,96.0,1.0,1
Pariah,2011,79,44,0,0,46.0,409.0,89.0,5.0,2
Paris,2009,68,130,0,0,53.0,242.0,95.0,1.0,6
Paris 05:59: Théo & Hugo,2017,74,159,0,0,75.0,146.0,87.0,19.0,5
"Paris, 13th District",2022,76,123,0,0,63.0,296.0,81.0,51.0,11
Particle Fever,2014,87,19,0,0,71.0,166.0,87.0,16.0,4
Pasolini,2019,71,186,0,0,58.0,353.0,96.0,1.0,13
Pass Over,2018,76,118,0,0,49.0,490.0,69.0,224.0,9
Passages,2023,80,74,0,0,77.0,109.0,89.0,12.0,2
Passing,2021,85,32,0,0,49.0,437.0,72.0,171.0,5
Passing Strange,2009,85,16,0,0,53.0,242.0,95.0,1.0,4
Passione,2011,70,129,0,0,46.0,409.0,89.0,5.0,3
Past Lives,2023,94,2,1,0,77.0,109.0,89.0,12.0,1
Paterson,2016,90,10,0,0,69.0,220.0,99.0,1.0,3
Path of Blood,2018,63,317,0,0,49.0,490.0,69.0,224.0,4
Paths of the Soul,2016,90,9,0,0,69.0,220.0,99.0,1.0,2
Patience (After Sebald),2012,75,72,0,0,63.0,234.0,86.0,12.0,1
Patriots Day,2016,69,226,0,0,69.0,220.0,99.0,1.0,10
Patti Smith: Dream of Life,2008,66,127,0,0,58.0,199.0,84.0,10.0,2
Paul,2011,57,298,0,0,46.0,409.0,89.0,5.0,1
Paul Goodman Changed My Life,2011,68,154,0,0,46.0,409.0,89.0,5.0,8
Paul Williams Still Alive,2012,72,110,0,0,63.0,234.0,86.0,12.0,8
"Paul, Apostle of Christ",2018,52,463,0,0,49.0,490.0,69.0,224.0,12
Pavarotti,2019,66,257,0,0,58.0,353.0,96.0,1.0,9
Pavilion,2013,78,63,0,0,75.0,95.0,96.0,1.0,4
Pearl,2022,76,122,0,0,63.0,296.0,81.0,51.0,10
Pearl Jam Twenty,2011,59,280,0,0,46.0,409.0,89.0,5.0,7
Penguin Bloom,2021,54,395,0,0,49.0,437.0,72.0,171.0,16
Penguins,2019,69,203,0,0,58.0,353.0,96.0,1.0,2
People Say I'm Crazy,2004,69,115,0,0,67.0,131.0,86.0,11.0,2
People's Republic of Desire,2018,77,107,0,0,49.0,490.0,69.0,224.0,6
Percy Vs Goliath,2021,56,368,0,0,49.0,437.0,72.0,171.0,4
Perfect Days,2023,77,107,0,0,77.0,109.0,89.0,12.0,6
Perfect Strangers (Perfectos Desconocidos),2019,63,293,0,0,58.0,353.0,96.0,1.0,7
Permission,2018,62,337,0,0,49.0,490.0,69.0,224.0,10
Persepolis,2007,90,7,0,0,81.0,29.0,92.0,5.0,2
Personal Shopper,2017,77,107,0,0,75.0,146.0,87.0,19.0,3
Personality Crisis: One Night Only,2023,80,78,0,0,77.0,109.0,89.0,12.0,6
Pervert Park,2016,80,61,0,0,69.0,220.0,99.0,1.0,3
Pet Sematary,2019,57,360,0,0,58.0,353.0,96.0,1.0,2
Pete Seeger: The Power of Song,2007,81,30,0,0,81.0,29.0,92.0,5.0,2
Pete's Dragon,2016,71,186,0,0,69.0,220.0,99.0,1.0,3
Peter Rabbit,2018,51,471,0,0,49.0,490.0,69.0,224.0,8
Peter and the Farm,2016,80,63,0,0,69.0,220.0,99.0,1.0,5
Peter von Kant,2022,63,297,0,0,63.0,296.0,81.0,51.0,5
Peterloo,2019,66,251,0,0,58.0,353.0,96.0,1.0,3
Petite Maman,2021,93,4,0,0,49.0,437.0,72.0,171.0,1
Petrov's Flu,2022,79,76,0,0,63.0,296.0,81.0,51.0,6
Phantom Thread,2017,90,8,1,0,75.0,146.0,87.0,19.0,2
Phil Ochs: There But for Fortune,2011,72,96,0,0,46.0,409.0,89.0,5.0,2
Philomena,2013,77,75,1,0,75.0,95.0,96.0,1.0,10
Phoebe in Wonderland,2009,56,220,0,0,53.0,242.0,95.0,1.0,6
Phoenix,2015,89,14,0,0,76.0,119.0,93.0,6.0,2
Photograph,2019,65,271,0,0,58.0,353.0,96.0,1.0,12
Photographic Memory,2012,79,46,0,0,63.0,234.0,86.0,12.0,2
Piaffe,2023,76,110,0,0,77.0,109.0,89.0,12.0,1
Pianomania,2011,67,170,0,0,46.0,409.0,89.0,5.0,9
Pick of the Litter,2018,64,308,0,0,49.0,490.0,69.0,224.0,6
Pictures of Ghosts,2024,88,17,0,0,70.0,192.0,91.0,10.0,3
Piercing,2019,63,292,0,0,58.0,353.0,96.0,1.0,6
Pig,2021,82,63,0,0,49.0,437.0,72.0,171.0,11
Piggy,2022,72,179,0,0,63.0,296.0,81.0,51.0,7
Pin Cushion,2018,74,149,0,0,49.0,490.0,69.0,224.0,10
Pina,2011,83,25,0,0,46.0,409.0,89.0,5.0,2
Pineapple Express,2008,64,150,0,0,58.0,199.0,84.0,10.0,12
"Pink Ribbons, Inc.",2012,66,187,0,0,63.0,234.0,86.0,12.0,3
Pink Wall,2019,68,229,0,0,58.0,353.0,96.0,1.0,11
Pirate Radio,2009,58,201,0,0,53.0,242.0,95.0,1.0,1
Pirates,2022,73,171,0,0,63.0,296.0,81.0,51.0,19
Pirates of the Caribbean: On Stranger Tides,2011,45,421,0,0,46.0,409.0,89.0,5.0,8
Pistol Opera,2003,75,52,0,0,72.0,73.0,94.0,1.0,2
Pitch Perfect,2012,66,201,0,0,63.0,234.0,86.0,12.0,17
Place Vendôme,2000,74,61,0,0,64.0,126.0,67.0,110.0,8
Plan B,2021,74,147,0,0,49.0,437.0,72.0,171.0,6
Planet B-Boy,2008,63,153,0,0,58.0,199.0,84.0,10.0,1
Planet of Snail,2012,73,97,0,0,63.0,234.0,86.0,12.0,10
Play,2015,81,62,0,0,76.0,119.0,93.0,6.0,10
Playground,2022,86,17,0,0,63.0,296.0,81.0,51.0,1
Playing with Sharks,2021,78,100,0,0,49.0,437.0,72.0,171.0,5
Please Baby Please,2022,65,281,0,0,63.0,296.0,81.0,51.0,16
Please Give,2010,78,46,0,0,74.0,75.0,88.0,8.0,2
Please Stand By,2018,49,488,0,0,49.0,490.0,69.0,224.0,5
Pleasure,2022,75,130,0,0,63.0,296.0,81.0,51.0,6
Plimpton! Starring George Plimpton as Himself,2013,74,109,0,0,75.0,95.0,96.0,1.0,8
Plot for Peace,2014,75,116,0,0,71.0,166.0,87.0,16.0,14
Plus One,2019,65,269,0,0,58.0,353.0,96.0,1.0,10
Poetry,2011,87,7,0,0,46.0,409.0,89.0,5.0,1
