"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"Arizona","AZ",2020-03-17,"Biden",9,80,FALSE,1,0,0,945
"Arizona","AZ",2020-03-17,"Biden",10,80,FALSE,1,0,0,946
"Arizona","AZ",2020-03-17,"Biden",11,80,FALSE,1,0,0,947
"Arizona","AZ",2020-03-17,"Biden",12,80,FALSE,1,0,0,948
"Arizona","AZ",2020-03-17,"Biden",13,80,FALSE,1,0,0,949
"Arizona","AZ",2020-03-17,"Biden",14,80,FALSE,1,0,0,950
"Arizona","AZ",2020-03-17,"Biden",15,80,FALSE,1,0,0,951
"Arizona","AZ",2020-03-17,"Biden",14,81,FALSE,1,0,0,965
"Arizona","AZ",2020-03-17,"Biden",15,81,FALSE,1,0,0,966
"Arizona","AZ",2020-03-17,"Biden",16,81,FALSE,1,0,0,967
"Arizona","AZ",2020-03-17,"Sanders",16,78,TRUE,0,1,0,755
"Arizona","AZ",2020-03-17,"Sanders",17,78,TRUE,0,1,0,756
"Arizona","AZ",2020-03-17,"Sanders",18,78,TRUE,0,1,0,757
"Arizona","AZ",2020-03-17,"Sanders",19,78,TRUE,0,1,0,758
"Arizona","AZ",2020-03-17,"Sanders",20,78,TRUE,0,1,0,759
"Arizona","AZ",2020-03-17,"Sanders",21,78,TRUE,0,1,0,760
"Arizona","AZ",2020-03-17,"Sanders",22,78,TRUE,0,1,0,761
"Arizona","AZ",2020-03-17,"Sanders",23,78,TRUE,0,1,0,762
"Arizona","AZ",2020-03-17,"Sanders",24,78,TRUE,0,1,0,763
"Arizona","AZ",2020-03-17,"Sanders",16,79,TRUE,0,1,0,766
"Arizona","AZ",2020-03-17,"Sanders",17,79,TRUE,0,1,0,767
"Arizona","AZ",2020-03-17,"Sanders",18,79,TRUE,0,1,0,768
"Arizona","AZ",2020-03-17,"Sanders",19,79,TRUE,0,1,0,769
"Arizona","AZ",2020-03-17,"Sanders",20,79,TRUE,0,1,0,770
"Arizona","AZ",2020-03-17,"Sanders",21,79,TRUE,0,1,0,771
"Arizona","AZ",2020-03-17,"Sanders",22,79,TRUE,0,1,0,772
"Arizona","AZ",2020-03-17,"Sanders",23,79,TRUE,0,1,0,773
