"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share"
"Arizona","AZ",2020-03-17,"Biden",2,79,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",3,79,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",4,79,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",5,79,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",6,79,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",7,79,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",8,79,TRUE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",1,80,FALSE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",2,80,FALSE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",3,80,FALSE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",4,80,FALSE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",5,80,FALSE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",6,80,FALSE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",7,80,FALSE,1,0,0
"Arizona","AZ",2020-03-17,"Biden",8,80,FALSE,1,0,0
"Arizona","AZ",2020-03-17,"Sanders",17,78,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",18,78,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",19,78,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",20,78,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",21,78,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",22,78,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",23,78,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",24,78,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",18,79,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",19,79,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",20,79,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",21,79,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",22,79,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",23,79,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",24,79,TRUE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",18,80,FALSE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",19,80,FALSE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",20,80,FALSE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",21,80,FALSE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",22,80,FALSE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",23,80,FALSE,0,1,0
"Arizona","AZ",2020-03-17,"Sanders",24,80,FALSE,0,1,0
"Arizona","AZ",2020-03-17,"Unassigned",16,78,TRUE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",9,79,TRUE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",10,79,TRUE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",15,79,TRUE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",16,79,TRUE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",17,79,TRUE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",9,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",10,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",11,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",12,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",13,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",14,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",15,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",16,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",17,80,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",14,81,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",15,81,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",16,81,FALSE,0,0,0
"Arizona","AZ",2020-03-17,"Unassigned",17,81,FALSE,0,0,0
"California","CA",2020-03-03,"Biden",1,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,11,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,12,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,13,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,14,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,14,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,14,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,14,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,14,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,14,TRUE,1,0,0
