"state","state_abb","date","primary","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"Arizona","AZ",2020-03-17,TRUE,"Sanders",22,78,TRUE,0,1,0,771
"Arizona","AZ",2020-03-17,TRUE,"Sanders",23,78,TRUE,0,1,0,772
"Arizona","AZ",2020-03-17,TRUE,"Sanders",24,78,TRUE,0,1,0,773
"Arizona","AZ",2020-03-17,TRUE,"Sanders",17,79,TRUE,0,1,0,778
"Arizona","AZ",2020-03-17,TRUE,"Sanders",18,79,TRUE,0,1,0,779
"Arizona","AZ",2020-03-17,TRUE,"Sanders",19,79,TRUE,0,1,0,780
"Arizona","AZ",2020-03-17,TRUE,"Sanders",20,79,TRUE,0,1,0,781
"Arizona","AZ",2020-03-17,TRUE,"Sanders",21,79,TRUE,0,1,0,782
"Arizona","AZ",2020-03-17,TRUE,"Sanders",22,79,TRUE,0,1,0,783
"Arizona","AZ",2020-03-17,TRUE,"Sanders",23,79,TRUE,0,1,0,784
"Arizona","AZ",2020-03-17,TRUE,"Sanders",24,79,TRUE,0,1,0,785
"Arizona","AZ",2020-03-17,TRUE,"Sanders",15,80,TRUE,0,1,0,786
"Arizona","AZ",2020-03-17,TRUE,"Sanders",16,80,TRUE,0,1,0,787
"Arizona","AZ",2020-03-17,TRUE,"Sanders",17,80,TRUE,0,1,0,788
"Arizona","AZ",2020-03-17,TRUE,"Sanders",18,80,TRUE,0,1,0,789
"Arizona","AZ",2020-03-17,TRUE,"Sanders",19,80,TRUE,0,1,0,790
"Arizona","AZ",2020-03-17,TRUE,"Sanders",20,80,TRUE,0,1,0,791
"Arizona","AZ",2020-03-17,TRUE,"Sanders",21,80,TRUE,0,1,0,792
"Arizona","AZ",2020-03-17,TRUE,"Sanders",22,80,TRUE,0,1,0,793
"Arizona","AZ",2020-03-17,TRUE,"Sanders",23,80,TRUE,0,1,0,794
"Arizona","AZ",2020-03-17,TRUE,"Sanders",24,80,TRUE,0,1,0,795
"Arizona","AZ",2020-03-17,TRUE,"Sanders",16,81,TRUE,0,1,0,796
"Arizona","AZ",2020-03-17,TRUE,"Sanders",17,81,TRUE,0,1,0,797
"California","CA",2020-03-03,TRUE,"Biden",1,11,TRUE,1,0,0,116
"California","CA",2020-03-03,TRUE,"Biden",2,11,TRUE,1,0,0,117
"California","CA",2020-03-03,TRUE,"Biden",3,11,TRUE,1,0,0,118
"California","CA",2020-03-03,TRUE,"Biden",4,11,TRUE,1,0,0,119
