title,release_date,metacritic_score
Jumping the Broom,2011-05-06,56
Don't Be Afraid of the Dark,2011-08-26,56
Real Steel,2011-10-07,56
Unknown,2011-02-18,56
The Rum Diary,2011-10-28,56
Exporting Raymond,2011-04-29,55
The Eagle,2011-02-11,55
Square Grouper,2011-04-15,55
Dhobi Ghat (Mumbai Diaries),2011-01-21,55
3,2011-09-16,55
Hobo with a Shotgun,2011-05-06,55
Young Goethe in Love,2011-11-04,55
The Conspirator,2011-04-15,55
American: The Bill Hicks Story,2011-04-08,55
Gun Hill Road,2011-08-05,55
The People vs. George Lucas,2011-05-06,55
Empire of Silver,2011-06-02,54
Puncture,2011-09-23,54
Cracks,2011-03-18,54
Love Etc.,2011-07-01,54
The Big Uneasy,2011-05-20,54
Desert Flower,2011-03-18,54
A Little Help,2011-07-22,54
The Big Year,2011-10-14,53
Soul Surfer,2011-04-08,53
Shaolin,2011-09-09,53
That's What I Am,2011-04-29,53
Earthwork,2011-04-29,53
Mr. Popper's Penguins,2011-06-17,53
Gnomeo and Juliet,2011-02-11,53
Rid of Me,2011-11-18,53
Jig,2011-06-17,53
In Time,2011-10-28,53
The Sons of Tennessee Williams,2011-10-07,52
The Woman on the 6th Floor,2011-10-07,52
London Boulevard,2011-11-11,52
Insidious,2011-04-01,52
Chasing Madoff,2011-08-26,52
The Iron Lady,2011-12-30,52
The Devil's Double,2011-07-29,52
Justin Bieber: Never Say Never,2011-02-11,52
Scream 4,2011-04-15,52
Water for Elephants,2011-04-22,52
Janie Jones,2011-10-28,52
Skateland,2011-05-13,51
White Irish Drinkers,2011-03-25,51
Meet Monica Velour,2011-04-08,51
Diary of a Wimpy Kid 2: Rodrick Rules,2011-03-25,51
Anonymous,2011-10-28,50
Super,2011-04-01,50
Vanishing on 7th Street,2011-02-18,50
Kill the Irishman,2011-03-11,50
Dog Sweat,2011-11-11,50
Happy Feet Two,2011-11-18,50
Final Destination 5,2011-08-12,50
No Strings Attached,2011-01-21,50
Red State,2011-10-19,50
Miss Minoes,2011-12-23,50
Elektra Luxx,2011-03-11,50
Septien,2011-07-08,50
Last Night,2011-05-06,50
Prom,2011-04-29,50
Twelve Thirty,2011-01-14,50
Cowboys & Aliens,2011-07-29,50
The Mighty Macs,2011-10-21,49
Kidnapped,2011-06-15,49
Special Treatment,2011-08-26,49
Henry's Crime,2011-04-08,49
Legend of the Fist: The Return of Chen Zhen,2011-04-22,49
Jane's Journey,2011-09-16,49
Just Like Us,2011-06-10,49
The Thing,2011-10-14,49
Texas Killing Fields,2011-10-14,49
Mars Needs Moms,2011-03-11,49
30 Minutes or Less,2011-08-12,49
Protektor,2011-08-05,49
