league,year,team,city,state,lat,lng
NBA,1967,Philadelphia 76ers,Philadelphia,PA,39.9526,-75.1652
NFL,1967,Green Bay Packers,Green Bay,WI,44.5192,-88.0198
NHL,1967,Toronto Maple Leafs,Toronto,CAN,43.6532,-79.3832
MLB,1968,Detroit Tigers,Detroit,MI,42.3314,-83.0458
NBA,1968,Boston Celtics,Boston,MA,42.3601,-71.0589
NFL,1968,Green Bay Packers,Green Bay,WI,44.5192,-88.0198
NHL,1968,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1969,New York Mets,New York,NY,40.7128,-74.0059
NBA,1969,Boston Celtics,Boston,MA,42.3601,-71.0589
NFL,1969,New York Jets,New York,NY,40.7128,-74.0059
NHL,1969,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1970,Baltimore Orioles,Baltimore,MD,39.2904,-76.6122
NBA,1970,New York Knicks,New York,NY,40.7128,-74.0059
NFL,1970,Kansas City Chiefs,Kansas City,MO,39.0997,-94.5786
NHL,1970,Boston Bruins,Boston,MA,42.3601,-71.0589
MLB,1971,Pittsburgh Pirates,Pittsburgh,PA,40.4406,-79.9959
NBA,1971,Milwaukee Bucks,Milwaukee,WI,43.0389,-87.9065
NFL,1971,Baltimore Colts,Baltimore,MD,39.2904,-76.6122
NHL,1971,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1972,Oakland Athletics,San Francisco,CA,37.7749,-112.4194
NBA,1972,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,1972,Dallas Cowboys,Dallas,TX,32.7767,-96.797
NHL,1972,Boston Bruins,Boston,MA,42.3601,-71.0589
MLB,1973,Oakland Athletics,San Francisco,CA,37.7749,-112.4194
NBA,1973,New York Knicks,New York,NY,40.7128,-74.0059
NFL,1973,Miami Dolphins,Miami,FL,25.7617,-80.1918
NHL,1973,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1974,Oakland Athletics,San Francisco,CA,37.7749,-112.4194
NBA,1974,Boston Celtics,Boston,MA,42.3601,-71.0589
NFL,1974,Miami Dolphins,Miami,FL,25.7617,-80.1918
