"","Code-3","Country","Code-2","Sport","Games","G","S","B","Year"
"112","BLR","Belarus","BY","Biathlon","Vancouver 2010",0,1,1,2010
"113","BLR","Belarus","BY","Freestyle Skiing","Vancouver 2010",1,0,0,2010
"114","CAN","Canada","CA","Bobsleigh","Vancouver 2010",1,1,1,2010
"115","CAN","Canada","CA","Curling","Vancouver 2010",1,1,0,2010
"116","CAN","Canada","CA","Figure Skating","Vancouver 2010",1,0,1,2010
"117","CAN","Canada","CA","Freestyle Skiing","Vancouver 2010",2,1,0,2010
"118","CAN","Canada","CA","Ice Hockey","Vancouver 2010",2,0,0,2010
"119","CAN","Canada","CA","Short Track Speed Skating","Vancouver 2010",2,2,1,2010
"120","CAN","Canada","CA","Skeleton","Vancouver 2010",1,0,0,2010
"121","CAN","Canada","CA","Snowboard","Vancouver 2010",1,0,0,2010
"122","CAN","Canada","CA","Speed Skating","Vancouver 2010",2,1,2,2010
"123","CHN","China","CN","Curling","Vancouver 2010",0,0,1,2010
"124","CHN","China","CN","Figure Skating","Vancouver 2010",1,1,0,2010
"125","CHN","China","CN","Freestyle Skiing","Vancouver 2010",0,1,2,2010
"126","CHN","China","CN","Short Track Speed Skating","Vancouver 2010",4,0,0,2010
"127","CRO","Croatia","HR","Alpine Skiing","Vancouver 2010",0,2,0,2010
"128","CRO","Croatia","HR","Biathlon","Vancouver 2010",0,0,1,2010
"129","CZE","Czech Republic","CZ","Alpine Skiing","Vancouver 2010",0,0,1,2010
"130","CZE","Czech Republic","CZ","Cross-Country Skiing","Vancouver 2010",0,0,2,2010
"131","CZE","Czech Republic","CZ","Speed Skating","Vancouver 2010",2,0,1,2010
"132","EST","Estonia","EE","Cross-Country Skiing","Vancouver 2010",0,1,0,2010
"133","FIN","Finland","FI","Cross-Country Skiing","Vancouver 2010",0,0,2,2010
"134","FIN","Finland","FI","Ice Hockey","Vancouver 2010",0,0,2,2010
"135","FIN","Finland","FI","Snowboard","Vancouver 2010",0,1,0,2010
"136","FRA","France","FR","Biathlon","Vancouver 2010",1,2,3,2010
"137","FRA","France","FR","Freestyle Skiing","Vancouver 2010",0,0,1,2010
"138","FRA","France","FR","Snowboard","Vancouver 2010",0,0,1,2010
"139","GBR","United Kingdom","GB","Skeleton","Vancouver 2010",1,0,0,2010
"140","GER","Germany","DE","Alpine Skiing","Vancouver 2010",3,0,0,2010
"141","GER","Germany","DE","Biathlon","Vancouver 2010",2,1,2,2010
"142","GER","Germany","DE","Bobsleigh","Vancouver 2010",1,2,0,2010
"143","GER","Germany","DE","Cross-Country Skiing","Vancouver 2010",1,4,0,2010
"144","GER","Germany","DE","Figure Skating","Vancouver 2010",0,0,1,2010
"145","GER","Germany","DE","Luge","Vancouver 2010",2,1,2,2010
"146","GER","Germany","DE","Skeleton","Vancouver 2010",0,1,1,2010
"147","GER","Germany","DE","Ski Jumping","Vancouver 2010",0,1,0,2010
"148","GER","Germany","DE","Speed Skating","Vancouver 2010",1,2,0,2010
"149","ITA","Italy","IT","Alpine Skiing","Vancouver 2010",1,0,0,2010
"150","ITA","Italy","IT","Cross-Country Skiing","Vancouver 2010",0,1,0,2010
"151","ITA","Italy","IT","Luge","Vancouver 2010",0,0,1,2010
"152","ITA","Italy","IT","Short Track Speed Skating","Vancouver 2010",0,0,1,2010
"153","JPN","Japan","JP","Figure Skating","Vancouver 2010",0,1,1,2010
"154","JPN","Japan","JP","Speed Skating","Vancouver 2010",0,1,0,2010
"155","KAZ","Kazakhstan","KZ","Biathlon","Vancouver 2010",0,1,0,2010
"156","KOR","Korea","KR","Figure Skating","Vancouver 2010",1,0,0,2010
"157","KOR","Korea","KR","Short Track Speed Skating","Vancouver 2010",2,4,2,2010
"158","KOR","Korea","KR","Speed Skating","Vancouver 2010",1,2,0,2010
"159","LAT","Latvia","LV","Luge","Vancouver 2010",0,1,0,2010
"160","LAT","Latvia","LV","Skeleton","Vancouver 2010",0,1,0,2010
"161","NED","Netherlands","NL","Snowboard","Vancouver 2010",1,0,0,2010
"162","NED","Netherlands","NL","Speed Skating","Vancouver 2010",3,1,3,2010
"163","NOR","Norway","NO","Alpine Skiing","Vancouver 2010",1,2,1,2010
"164","NOR","Norway","NO","Biathlon","Vancouver 2010",3,2,0,2010
"165","NOR","Norway","NO","Cross-Country Skiing","Vancouver 2010",5,2,2,2010
"166","NOR","Norway","NO","Curling","Vancouver 2010",0,1,0,2010
"167","NOR","Norway","NO","Freestyle Skiing","Vancouver 2010",0,1,1,2010
"168","NOR","Norway","NO","Ski Jumping","Vancouver 2010",0,0,1,2010
"169","NOR","Norway","NO","Speed Skating","Vancouver 2010",0,0,1,2010
"170","POL","Poland","PL","Cross-Country Skiing","Vancouver 2010",1,1,1,2010
"171","POL","Poland","PL","Ski Jumping","Vancouver 2010",0,2,0,2010
"172","POL","Poland","PL","Speed Skating","Vancouver 2010",0,0,1,2010
"173","RUS","Russia","RU","Biathlon","Vancouver 2010",2,1,1,2010
"174","RUS","Russia","RU","Bobsleigh","Vancouver 2010",0,0,1,2010
"175","RUS","Russia","RU","Cross-Country Skiing","Vancouver 2010",1,1,2,2010
