title,imdb_id,release_year,best_picture,top_grossing,box_office,imdb_rating,rt_rating,metacritic_rating,mean_rating
Moneyball,tt1210166,2011,1,0,75605492,0.76,0.94,0.87,0.856666667
Hugo,tt0970179,2011,1,0,73820094,0.75,0.94,0.83,0.84
Bridge of Spies,tt3682448,2015,1,0,72313754,0.76,0.91,0.81,0.826666667
The Big Short,tt1596363,2015,1,0,70259870,0.78,0.88,0.81,0.823333333
Hacksaw Ridge,tt2119532,2016,1,0,67115062,0.82,0.86,0.71,0.796666667
Fences,tt2671706,2016,1,0,57642961,0.72,0.94,0.79,0.816666667
The Shape of Water,tt5580390,2017,1,0,57393976,0.74,0.92,0.87,0.843333333
The Grand Budapest Hotel,tt2278388,2014,1,0,56939515,0.81,0.91,0.88,0.866666667
Midnight in Paris,tt1605783,2011,1,0,55400000,0.77,0.93,0.81,0.836666667
Selma,tt1020072,2014,1,0,52076908,0.75,0.98,0.89,0.873333333
Three Billboards Outside Ebbing Missouri,tt5027774,2017,1,0,52000189,0.82,0.92,0.88,0.873333333
Lion,tt3741834,2016,1,0,51694854,0.81,0.86,0.69,0.786666667
12 Years a Slave,tt2024544,2013,1,0,50628650,0.81,0.96,0.96,0.91
Lady Bird,tt4925292,2017,1,0,48285330,0.75,0.99,0.94,0.893333333
Manchester by the Sea,tt4034228,2016,1,0,47695120,0.78,0.95,0.96,0.896666667
Precious,tt0929632,2009,1,0,47536959,0.73,0.91,0.79,0.81
Spotlight,tt1895587,2015,1,0,45055776,0.81,0.97,0.93,0.903333333
The Artist,tt1655442,2011,1,0,44667095,0.79,0.95,0.89,0.876666667
Birdman or (The Unexpected Virtue of Ignorance),tt2562232,2014,1,0,42340598,0.77,0.92,0.88,0.856666667
Philomena,tt2431286,2013,1,0,37707719,0.76,0.91,0.77,0.813333333
The Theory of Everything,tt2980516,2014,1,0,35887263,0.77,0.78,0.72,0.756666667
The Reader,tt0976051,2008,1,0,34111418,0.76,0.62,0.58,0.653333333
Extremely Loud &amp; Incredibly Close,tt0477302,2011,1,0,31836745,0.69,0.46,0.46,0.536666667
Milk,tt1013753,2008,1,0,31716847,0.76,0.94,0.84,0.846666667
Brooklyn,tt2381111,2015,1,0,30459009,0.75,0.97,0.87,0.863333333
Darkest Hour,tt4555426,2017,1,0,28086332,0.74,0.85,0.75,0.78
Moonlight,tt4975722,2016,1,0,27850910,0.74,0.98,0.99,0.903333333
Hell or High Water,tt2582782,2016,1,0,26973524,0.76,0.97,0.88,0.87
The Wrestler,tt1125849,2008,1,0,26136413,0.79,0.98,0.81,0.86
Dallas Buyers Club,tt0790636,2013,1,0,23750994,0.8,0.93,0.84,0.856666667
The Kids Are All Right,tt0842926,2010,1,0,20803237,0.7,0.93,0.86,0.83
Boyhood,tt1065073,2014,1,0,18859617,0.79,0.97,1,0.92
Frost/Nixon,tt0870111,2008,1,0,18600000,0.77,0.92,0.8,0.83
127 Hours,tt1542344,2010,1,0,18329466,0.76,0.93,0.82,0.836666667
Call Me by Your Name,tt5726616,2017,1,0,18095701,0.8,0.95,0.93,0.893333333
Her,tt1798709,2013,1,0,17901029,0.8,0.94,0.9,0.88
The Hurt Locker,tt0887912,2009,1,0,15700000,0.76,0.97,0.94,0.89
Room,tt3170832,2015,1,0,14677654,0.82,0.94,0.86,0.873333333
The Tree of Life,tt0478304,2011,1,0,13303319,0.68,0.84,0.85,0.79
Whiplash,tt2582802,2014,1,0,13092000,0.85,0.94,0.88,0.89
Beasts of the Southern Wild,tt2125435,2012,1,0,12784397,0.73,0.86,0.86,0.816666667
An Education,tt1174732,2009,1,0,12512069,0.73,0.95,0.85,0.843333333
Nebraska,tt1821549,2013,1,0,11348612,0.77,0.91,0.86,0.846666667
The Visitor,tt0857191,2008,1,0,9234510,0.77,0.89,0.79,0.816666667
A Serious Man,tt1019452,2009,1,0,9190525,0.7,0.9,0.79,0.796666667
Trumbo,tt3203606,2015,1,0,7857741,0.75,0.73,0.6,0.693333333
Amour,tt1602620,2012,1,0,6700000,0.79,0.93,0.94,0.886666667
Winter's Bone,tt1399683,2010,1,0,6200000,0.72,0.94,0.9,0.853333333
Phantom Thread,tt5776858,2017,1,0,947190,0.76,0.91,0.9,0.856666667
Black Panther,tt1825683,2018,0,1,700059566,0.74,0.91,0.88,0.843333333
Mission: Impossible - Fallout,tt4912910,2018,0,1,185900660,0.82,0.97,0.86,0.883333333
Avengers: Infinity Wars,tt4154756,2018,0,1,678630680,0.86,0.83,0.68,0.79
Incredibles 2,tt3606756,2018,0,1,595412966,0.81,0.93,0.8,0.846666667
Jurassic World: Fallen Kingdom,tt4881806,2018,0,1,412268695,0.64,0.5,0.51,0.55
Leave No Trace,tt3892172,2018,1,0,5717481,0.78,1,0.88,0.886666667
BlacKkKlansman,tt7349662,2018,1,0,26693540,0.79,0.96,0.83,0.86
