year,month,v1,v2
1903,9,-0.525,0.434
1903,10,-0.654,0.305
1903,11,-0.627,0.332
1903,12,-0.596,0.363
1904,1,-0.634,0.325
1904,2,-0.59,0.369
1904,3,-0.655,0.304
1904,4,-0.554,0.405
1904,5,-0.53,0.429
1904,6,-0.519,0.44
1904,7,-0.523,0.436
1904,8,-0.474,0.485
1904,9,-0.478,0.481
1904,10,-0.476,0.483
1904,11,-0.381,0.578
1904,12,-0.409,0.55
1905,1,-0.46,0.499
1905,2,-0.7,0.259
1905,3,-0.463,0.496
1905,4,-0.552,0.407
1905,5,-0.344,0.615
1905,6,-0.321,0.638
1905,7,-0.298,0.661
1905,8,-0.303,0.656
1905,9,-0.316,0.643
1905,10,-0.363,0.596
1905,11,-0.221,0.738
1905,12,-0.195,0.764
1906,1,-0.07,0.889
1906,2,-0.232,0.727
1906,3,-0.287,0.672
1906,4,-0.112,0.847
1906,5,-0.334,0.625
1906,6,-0.295,0.664
1906,7,-0.321,0.638
1906,8,-0.32,0.639
1906,9,-0.385,0.574
1906,10,-0.352,0.607
1906,11,-0.428,0.531
1906,12,-0.28,0.679
1907,1,-0.433,0.526
1907,2,-0.51,0.449
1907,3,-0.334,0.625
1907,4,-0.505,0.454
1907,5,-0.557,0.402
1907,6,-0.525,0.434
1907,7,-0.405,0.554
1907,8,-0.457,0.502
1907,9,-0.406,0.553
1907,10,-0.358,0.601
1907,11,-0.58,0.379
1907,12,-0.531,0.428
1908,1,-0.409,0.55
1908,2,-0.412,0.547
1908,3,-0.629,0.33
1908,4,-0.546,0.413
1908,5,-0.472,0.487
1908,6,-0.475,0.484
1908,7,-0.472,0.487
1908,8,-0.533,0.426
1908,9,-0.458,0.501
1908,10,-0.58,0.379
1908,11,-0.598,0.361
1908,12,-0.568,0.391
1909,1,-0.575,0.384
1909,2,-0.534,0.425
1909,3,-0.685,0.274
1909,4,-0.603,0.356
1909,5,-0.585,0.374
1909,6,-0.514,0.445
1909,7,-0.578,0.381
1909,8,-0.318,0.641
1909,9,-0.4,0.559
1909,10,-0.478,0.481
1909,11,-0.425,0.534
1909,12,-0.589,0.37
1910,1,-0.351,0.608
1910,2,-0.513,0.446
1910,3,-0.484,0.475
1910,4,-0.45,0.509
1910,5,-0.47,0.489
1910,6,-0.484,0.475
1910,7,-0.467,0.492
1910,8,-0.438,0.521
1910,9,-0.439,0.52
1910,10,-0.479,0.48
1910,11,-0.652,0.307
1910,12,-0.666,0.293
1911,1,-0.55,0.409
1911,2,-0.758,0.201
1911,3,-0.694,0.265
1911,4,-0.715,0.244
1911,5,-0.6,0.359
1911,6,-0.569,0.39
1911,7,-0.516,0.443
1911,8,-0.5,0.459
1911,9,-0.51,0.449
1911,10,-0.464,0.495
1911,11,-0.373,0.586
1911,12,-0.292,0.667
1912,1,-0.361,0.598
1912,2,-0.292,0.667
1912,3,-0.381,0.578
1912,4,-0.338,0.621
1912,5,-0.375,0.584
1912,6,-0.314,0.645
1912,7,-0.456,0.503
1912,8,-0.561,0.398
1912,9,-0.558,0.401
1912,10,-0.639,0.32
1912,11,-0.516,0.443
1912,12,-0.482,0.477
1913,1,-0.454,0.505
1913,2,-0.505,0.454
1913,3,-0.537,0.422
1913,4,-0.432,0.527
1913,5,-0.51,0.449
1913,6,-0.507,0.452
1913,7,-0.436,0.523
1913,8,-0.393,0.566
1913,9,-0.425,0.534
1913,10,-0.427,0.532
1913,11,-0.267,0.692
1913,12,-0.234,0.725
1914,1,-0.082,0.877
1914,2,-0.216,0.743
1914,3,-0.329,0.63
1914,4,-0.387,0.572
1914,5,-0.28,0.679
1914,6,-0.286,0.673
1914,7,-0.335,0.624
1914,8,-0.216,0.743
1914,9,-0.261,0.698
1914,10,-0.151,0.808
1914,11,-0.178,0.781
1914,12,-0.246,0.713
1915,1,-0.116,0.843
1915,2,-0.054,0.905
1915,3,-0.193,0.766
1915,4,-0.049,0.91
1915,5,-0.208,0.751
1915,6,-0.222,0.737
1915,7,-0.112,0.847
1915,8,-0.07,0.889
1915,9,-0.134,0.825
1915,10,-0.258,0.701
1915,11,-0.134,0.825
1915,12,-0.248,0.711
1916,1,-0.233,0.726
1916,2,-0.176,0.783
1916,3,-0.401,0.558
1916,4,-0.336,0.623
1916,5,-0.355,0.604
1916,6,-0.476,0.483
1916,7,-0.381,0.578
1916,8,-0.344,0.615
1916,9,-0.336,0.623
1916,10,-0.398,0.561
1916,11,-0.57,0.389
1916,12,-0.62,0.339
1917,1,-0.68,0.279
1917,2,-0.756,0.203
1917,3,-0.829,0.13
1917,4,-0.475,0.484
1917,5,-0.654,0.305
1917,6,-0.347,0.612
1917,7,-0.119,0.84
1917,8,-0.216,0.743
1917,9,-0.123,0.836
1917,10,-0.385,0.574
1917,11,-0.389,0.57
1917,12,-0.622,0.337
1918,1,-0.501,0.458
1918,2,-0.512,0.447
1918,3,-0.44,0.519
1918,4,-0.488,0.471
1918,5,-0.427,0.532
1918,6,-0.332,0.627
1918,7,-0.338,0.621
1918,8,-0.359,0.6
1918,9,-0.239,0.72
1918,10,-0.095,0.864
1918,11,-0.038,0.921
1918,12,-0.223,0.736
1919,1,-0.095,0.864
1919,2,-0.08,0.879
1919,3,-0.303,0.656
1919,4,-0.076,0.883
1919,5,-0.263,0.696
1919,6,-0.25,0.709
1919,7,-0.363,0.596
1919,8,-0.328,0.631
1919,9,-0.23,0.729
1919,10,-0.303,0.656
1919,11,-0.535,0.424
1919,12,-0.457,0.502
1920,1,-0.236,0.723
1920,2,-0.419,0.54
1920,3,-0.111,0.848
1920,4,-0.256,0.703
1920,5,-0.189,0.77
1920,6,-0.211,0.748
1920,7,-0.287,0.672
1920,8,-0.227,0.732
1920,9,-0.13,0.829
1920,10,-0.225,0.734
1920,11,-0.282,0.677
1920,12,-0.341,0.618
1921,1,-0.136,0.823
1921,2,-0.18,0.779
1921,3,-0.249,0.71
1921,4,-0.223,0.736
1921,5,-0.202,0.757
1921,6,-0.12,0.839
1921,7,-0.14,0.819
1921,8,-0.28,0.679
1921,9,-0.163,0.796
1921,10,-0.14,0.819
1921,11,-0.3,0.659
1921,12,-0.146,0.813
1922,1,-0.396,0.563
1922,2,-0.276,0.683
1922,3,-0.268,0.691
1922,4,-0.234,0.725
1922,5,-0.377,0.582
1922,6,-0.324,0.635
1922,7,-0.226,0.733
1922,8,-0.347,0.612
1922,9,-0.28,0.679
1922,10,-0.324,0.635
1922,11,-0.287,0.672
1922,12,-0.301,0.658
1923,1,-0.228,0.731
1923,2,-0.409,0.55
1923,3,-0.405,0.554
1923,4,-0.356,0.603
1923,5,-0.318,0.641
1923,6,-0.242,0.717
1923,7,-0.351,0.608
1923,8,-0.378,0.581
1923,9,-0.322,0.637
1923,10,-0.267,0.692
1923,11,-0.018,0.941
1923,12,-0.006,0.953
1924,1,-0.313,0.646
1924,2,-0.2,0.759
1924,3,-0.269,0.69
1924,4,-0.281,0.678
1924,5,-0.24,0.719
1924,6,-0.216,0.743
1924,7,-0.263,0.696
1924,8,-0.277,0.682
1924,9,-0.28,0.679
1924,10,-0.31,0.649
1924,11,-0.359,0.6
1924,12,-0.524,0.435
1925,1,-0.399,0.56
1925,2,-0.302,0.657
1925,3,-0.222,0.737
1925,4,-0.275,0.684
1925,5,-0.257,0.702
1925,6,-0.257,0.702
1925,7,-0.218,0.741
1925,8,-0.128,0.831
1925,9,-0.188,0.771
1925,10,-0.305,0.654
1925,11,-0.054,0.905
1925,12,0.006,0.965
1926,1,0.089,1.048
1926,2,-0.042,0.917
1926,3,-0.023,0.936
1926,4,-0.173,0.786
1926,5,-0.214,0.745
1926,6,-0.088,0.871
1926,7,-0.235,0.724
1926,8,-0.085,0.874
1926,9,-0.102,0.857
1926,10,-0.084,0.875
1926,11,-0.109,0.85
1926,12,-0.232,0.727
1927,1,-0.254,0.705
1927,2,-0.144,0.815
1927,3,-0.324,0.635
1927,4,-0.256,0.703
1927,5,-0.256,0.703
1927,6,-0.236,0.723
1927,7,-0.144,0.815
1927,8,-0.142,0.817
1927,9,-0.132,0.827
1927,10,-0.04,0.919
1927,11,-0.173,0.786
1927,12,-0.425,0.534
1928,1,-0.05,0.909
1928,2,-0.138,0.821
1928,3,-0.338,0.621
1928,4,-0.253,0.706
1928,5,-0.282,0.677
1928,6,-0.342,0.617
1928,7,-0.164,0.795
1928,8,-0.174,0.785
1928,9,-0.22,0.739
1928,10,-0.165,0.794
1928,11,-0.151,0.808
1928,12,-0.236,0.723
1929,1,-0.48,0.479
1929,2,-0.662,0.297
1929,3,-0.408,0.551
1929,4,-0.387,0.572
1929,5,-0.387,0.572
1929,6,-0.348,0.611
1929,7,-0.36,0.599
1929,8,-0.188,0.771
1929,9,-0.264,0.695
1929,10,-0.177,0.782
1929,11,-0.071,0.888
1929,12,-0.47,0.489
1930,1,-0.326,0.633
1930,2,-0.288,0.671
1930,3,-0.153,0.806
1930,4,-0.189,0.77
1930,5,-0.197,0.762
1930,6,-0.162,0.797
1930,7,-0.12,0.839
1930,8,-0.055,0.904
1930,9,-0.076,0.883
1930,10,-0.089,0.87
1930,11,0.081,1.04
1930,12,-0.069,0.89
1931,1,-0.001,0.958
1931,2,-0.147,0.812
1931,3,-0.119,0.84
1931,4,-0.178,0.781
1931,5,-0.161,0.798
1931,6,-0.034,0.925
1931,7,0.007,0.966
1931,8,-0.048,0.911
1931,9,-0.047,0.912
1931,10,-0.04,0.919
1931,11,-0.147,0.812
1931,12,-0.1,0.859
1932,1,0.162,1.121
1932,2,-0.192,0.767
1932,3,-0.24,0.719
1932,4,-0.063,0.896
1932,5,-0.168,0.791
1932,6,-0.192,0.767
1932,7,-0.129,0.83
1932,8,-0.198,0.761
1932,9,-0.039,0.92
1932,10,-0.171,0.788
1932,11,-0.227,0.732
1932,12,-0.192,0.767
1933,1,-0.284,0.675
1933,2,-0.316,0.643
1933,3,-0.34,0.619
1933,4,-0.216,0.743
